Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Cluster_0_Probability,Cluster_1_Probability,Cluster_2_Probability,Cluster_3_Probability,Cluster_4_Probability
1.1281521496355325,-1.424568790052139,-1.7454294073096774,-0.4348014799691481,4,0.0,3.941963642801573e-19,0.0,0.0,1.0
1.1281521496355325,-1.2810354107017978,-1.7454294073096774,1.195704069915157,2,0.0,7.007408904335692e-69,0.9999482541371184,0.0,5.1745862880735146e-05
-0.8864052604279183,-1.3528021003769686,-1.7070830700260025,-1.7159129834496736,3,0.0,0.0,0.0,1.0,0.0
-0.8864052604279183,-1.1375020313514563,-1.7070830700260025,1.0404178270690327,3,0.0,0.0,0.0,1.0,0.0
-0.8864052604279183,-0.5633685139500905,-1.6687367327423273,-0.3959799192576171,3,0.0,0.0,0.0,1.0,0.0
-0.8864052604279183,-1.209268721026627,-1.6687367327423273,1.0015962663575015,3,0.0,0.0,0.0,1.0,0.0
-0.8864052604279183,-0.2763017552494075,-1.6303903954586525,-1.7159129834496736,3,0.0,0.0,0.0,1.0,0.0
-0.8864052604279183,-1.1375020313514563,-1.6303903954586525,1.700384359165061,3,0.0,0.0,0.0,1.0,0.0
1.1281521496355325,1.804932245330544,-1.5920440581749773,-1.832377665584267,0,0.9902070684304797,2.7337159386229213e-05,0.0,0.0,0.009765594410133995
-0.8864052604279183,-0.6351352036252612,-1.5920440581749773,0.8463100235113773,3,0.0,0.0,0.0,1.0,0.0
1.1281521496355325,2.0202323143560563,-1.5920440581749773,-1.405340497757425,0,0.9861186914913526,1.1608128365733102e-05,0.0,0.0,0.013869700380281538
-0.8864052604279183,-0.2763017552494075,-1.5920440581749773,1.8944921627227165,3,0.0,0.0,0.0,1.0,0.0
-0.8864052604279183,1.3743321072795196,-1.5536977208913023,-1.366518937045894,3,0.0,0.0,0.0,1.0,0.0
-0.8864052604279183,-1.0657353416762856,-1.5536977208913023,1.0404178270690327,3,0.0,0.0,0.0,1.0,0.0
1.1281521496355325,-0.1327683758990659,-1.5536977208913023,-1.444162058468956,4,9.831052908002846e-98,0.0004501094070992472,0.0,0.0,0.9995498905929008
1.1281521496355325,-1.209268721026627,-1.5536977208913023,1.118060948492095,2,0.0,4.399619865031551e-64,0.9998878689343305,0.0,0.00011213106566911048
-0.8864052604279183,-0.2763017552494075,-1.5153513836076271,-0.5900877228152724,3,0.0,0.0,0.0,1.0,0.0
1.1281521496355325,-1.3528021003769686,-1.5153513836076271,0.6133806592421909,4,0.0,9.746380655855473e-44,0.0,0.0,1.0
1.1281521496355325,0.9437319692284952,-1.4386587090402774,-0.823017087084459,4,7.86181094237899e-33,2.6818083790839345e-08,0.0,0.0,0.9999999731819161
-0.8864052604279183,-0.2763017552494075,-1.4386587090402774,1.8556706020111853,3,0.0,0.0,0.0,1.0,0.0
1.1281521496355325,-0.2763017552494075,-1.4003123717566022,-0.5900877228152724,4,4.455303857281354e-144,7.149467997899482e-13,0.0,0.0,0.999999999999285
